WKT,OBJECTID,AncillaryR,Enabled
"POINT (-93.256885545200447 44.962843146922154)",1,0,1
"POINT (-93.256056703992186 44.962642148288971)",2,0,1
"POINT (-93.260562675193682 44.981075887601193)",3,0,1
"POINT (-93.262931433571595 44.979324909308787)",4,0,1
"POINT (-93.27441971078477 44.977915194618397)",5,0,1
"POINT (-93.27502528342707 44.977945568576416)",6,0,1
"POINT (-93.273692419499014 44.977604007333078)",7,0,1
"POINT (-93.27656314948004 44.976817208833673)",8,0,1
"POINT (-93.255337634563972 44.962863131647687)",9,0,1
"POINT (-93.25466566017667 44.962649743812001)",10,0,1
"POINT (-93.251051663329505 44.969256366629985)",11,0,1
"POINT (-93.251397721741839 44.968136877676834)",12,0,1
"POINT (-93.248908724996994 44.967065578055973)",14,0,1
"POINT (-93.268831863039736 44.95366479285601)",15,0,1
"POINT (-93.30132713818108 45.003063727767355)",16,0,1
"POINT (-93.299433731722729 45.007668921152572)",17,0,1
"POINT (-93.262649737925827 44.937847868326685)",18,0,1
"POINT (-93.283104687371079 44.946720847003)",19,0,1
"POINT (-93.294713597019651 44.908773843756556)",20,0,1
"POINT (-93.236550497502535 44.907373442330375)",21,0,1
"POINT (-93.241232878068061 44.901523547975472)",22,0,1
"POINT (-93.241271847708106 44.899922911046175)",23,0,1
"POINT (-93.241317866107835 44.898107453587748)",24,0,1
"POINT (-93.277836955081895 44.97250349419722)",25,0,1
"POINT (-93.277538719260136 44.972433649211887)",26,0,1
"POINT (-93.27856652122523 44.971648622891543)",27,0,1
"POINT (-93.260190942331619 44.975618376988123)",28,0,1
"POINT (-93.258274589019948 44.976086067168644)",29,0,1
"POINT (-93.270950144318661 44.978387018006686)",30,0,1
"POINT (-93.271384926611731 44.977993055165797)",31,0,1
"POINT (-93.271581343278356 44.977755639450962)",32,0,1
"POINT (-93.264690044900789 44.972480308527885)",33,0,1
"POINT (-93.265080610132287 44.972401819376991)",34,0,1
"POINT (-93.265503405035659 44.971508413119665)",35,0,1
"POINT (-93.25855852100382 44.977557406268403)",36,0,1
"POINT (-93.258812564900737 44.977630042861875)",37,0,1
"POINT (-93.281411213582032 44.952057280863109)",38,0,1
"POINT (-93.281417995831745 44.950856117476725)",39,0,1
"POINT (-93.281236070775805 44.939470197882827)",40,0,1
"POINT (-93.260159735863425 44.944815409729657)",41,0,1
"POINT (-93.257641876234189 44.950020987415435)",42,0,1
"POINT (-93.276472480060349 44.953678016547556)",43,0,1
"POINT (-93.276717302088827 44.939632435939174)",44,0,1
"POINT (-93.25636808034416 44.949939947962797)",45,0,1
"POINT (-93.255135822528629 44.951878994294468)",46,0,1
"POINT (-93.254921439516238 44.943014748689137)",47,0,1
"POINT (-93.254819448342673 44.939497707162637)",48,0,1
"POINT (-93.273982617254362 44.948446492160208)",49,0,1
"POINT (-93.253781156245068 44.941375104019386)",50,0,1
"POINT (-93.25375102393761 44.937859923767377)",51,0,1
"POINT (-93.272902555490546 44.953214749578322)",52,0,1
"POINT (-93.252243150365857 44.959067354524194)",53,0,1
"POINT (-93.249706506831203 44.959070895240941)",54,0,1
"POINT (-93.250040627597784 44.946641896150645)",55,0,1
"POINT (-93.249817421855624 44.939691465022108)",56,0,1
"POINT (-93.249791807888599 44.937853892364437)",57,0,1
"POINT (-93.270327545875773 44.943261133255135)",58,0,1
"POINT (-93.270299316438198 44.941482995528105)",59,0,1
"POINT (-93.248703674333157 44.93784860011526)",60,0,1
"POINT (-93.269005791694795 44.941487666752877)",61,0,1
"POINT (-93.268961374468518 44.93790597716503)",62,0,1
"POINT (-93.243642128389666 44.939645558128689)",63,0,1
"POINT (-93.243636248149599 44.937848058347207)",64,0,1
"POINT (-93.242397028345522 44.944878264509185)",65,0,1
"POINT (-93.271538218378367 44.93764656889077)",66,0,1
"POINT (-93.242111369563489 44.950216817310078)",67,0,1
"POINT (-93.277751611799843 44.948446454924245)",68,0,1
"POINT (-93.259895860453057 44.939492929721759)",69,0,1
"POINT (-93.271519455716515 44.936072337803743)",70,0,1
"POINT (-93.268935928831382 44.936083185734297)",71,0,1
"POINT (-93.261323042931181 44.93604330471841)",72,0,1
"POINT (-93.246129867394458 44.936049398973253)",73,0,1
"POINT (-93.256153613610763 44.946491238015476)",74,0,1
"POINT (-93.234767054670783 44.957476171227633)",75,0,1
"POINT (-93.234552839554553 44.952078874779197)",76,0,1
"POINT (-93.2348265562579 44.948466216340741)",77,0,1
"POINT (-93.230057432033959 44.950289564118243)",78,0,1
"POINT (-93.228111687232015 44.957311418152699)",79,0,1
"POINT (-93.225371101842228 44.955518079832444)",80,0,1
"POINT (-93.228166610142566 44.955523380597377)",81,0,1
"POINT (-93.22574473057999 44.95030737599982)",82,0,1
"POINT (-93.212804379225759 44.950299033085813)",83,0,1
"POINT (-93.210240556342583 44.950297434280266)",84,0,1
"POINT (-93.237576003800854 44.957293098362626)",85,0,1
"POINT (-93.240699567334119 44.944852074229551)",86,0,1
"POINT (-93.240681534601237 44.943044289170615)",87,0,1
"POINT (-93.231114697741162 44.941501128521288)",89,0,1
"POINT (-93.230065305165525 44.945095040018913)",90,0,1
"POINT (-93.229797974032223 44.943113176104752)",91,0,1
"POINT (-93.2284790114891 44.946971096909358)",92,0,1
"POINT (-93.228475115355465 44.943279938573433)",93,0,1
"POINT (-93.225526106488644 44.943113934063213)",94,0,1
"POINT (-93.225761468882979 44.941502615566911)",95,0,1
"POINT (-93.224384590680444 44.946948010459053)",96,0,1
"POINT (-93.224385123035759 44.941514962593956)",97,0,1
"POINT (-93.217910401488666 44.946937531464222)",98,0,1
"POINT (-93.212809494019879 44.946938665456408)",99,0,1
"POINT (-93.212814941771114 44.945214280120453)",100,0,1
"POINT (-93.212824117894414 44.941612590718883)",101,0,1
"POINT (-93.229842782762375 44.948288307258835)",102,0,1
"POINT (-93.228157644008533 44.948281323467)",103,0,1
"POINT (-93.247524719437862 44.948524772376892)",104,0,1
"POINT (-93.262472671400232 44.94845213313868)",105,0,1
"POINT (-93.26138492011529 44.957440760196342)",106,0,1
"POINT (-93.227019006515889 44.959321191179114)",107,0,1
"POINT (-93.227136960407336 44.957313181544066)",108,0,1
"POINT (-93.227150745031608 44.946967913118733)",109,0,1
"POINT (-93.253765261768123 44.939663343863792)",110,0,1
"POINT (-93.258890421459796 44.952061683007713)",111,0,1
"POINT (-93.262348998420876 44.959056778564353)",112,0,1
"POINT (-93.276708724482177 44.937847675891447)",113,0,1
"POINT (-93.221746504388648 44.93970549956255)",114,0,1
"POINT (-93.23595917215458 44.941487486553044)",115,0,1
"POINT (-93.263832712377464 44.935547134740148)",116,0,1
"POINT (-93.275192447253104 44.957515100486248)",117,0,1
"POINT (-93.269691366334897 44.954885437324378)",118,0,1
"POINT (-93.270324390315793 44.953189201853796)",119,0,1
"POINT (-93.21944844931491 44.958223989678977)",120,0,1
"POINT (-93.279814116830352 44.941445768832104)",121,0,1
"POINT (-93.275435453456851 44.939662827282859)",122,0,1
"POINT (-93.27539534040649 44.937853733541168)",123,0,1
"POINT (-93.275399316065389 44.93602663001402)",124,0,1
"POINT (-93.275465962344668 44.946747102761059)",125,0,1
"POINT (-93.271660621722972 44.946601044645384)",126,0,1
"POINT (-93.267856355845524 44.946790722343103)",127,0,1
"POINT (-93.26654886584906 44.946751336884518)",128,0,1
"POINT (-93.263996692538157 44.946755107736564)",129,0,1
"POINT (-93.257647738836994 44.946657108117655)",130,0,1
"POINT (-93.272613031738686 44.959257906237674)",131,0,1
"POINT (-93.272828572533385 44.959119034586337)",132,0,1
"POINT (-93.272837468582452 44.957415888805834)",133,0,1
"POINT (-93.272596507547846 44.95545984660464)",134,0,1
"POINT (-93.272853017545515 44.954566419460249)",135,0,1
"POINT (-93.263930517094991 44.95742454214119)",136,0,1
"POINT (-93.263950138234591 44.956433650753347)",137,0,1
"POINT (-93.285395412793164 44.953687906148723)",138,0,1
"POINT (-93.263943921051762 44.955647180825643)",139,0,1
"POINT (-93.26395088525534 44.953821682711016)",140,0,1
"POINT (-93.26376014419759 44.953678560984585)",141,0,1
"POINT (-93.284279881673797 44.95921038518599)",142,0,1
"POINT (-93.284091699979996 44.959058847119465)",143,0,1
"POINT (-93.263967619962884 44.944813002425157)",144,0,1
"POINT (-93.284286704110954 44.957417244247615)",145,0,1
"POINT (-93.263899927089255 44.939650524527977)",146,0,1
"POINT (-93.284274161510396 44.955468677525346)",147,0,1
"POINT (-93.284120917050998 44.953689037447838)",148,0,1
"POINT (-93.26386848434656 44.937854450227192)",149,0,1
"POINT (-93.284376350562766 44.94671658081829)",150,0,1
"POINT (-93.284386736638425 44.944843744686466)",151,0,1
"POINT (-93.284395328880152 44.943013134255771)",152,0,1
"POINT (-93.284421793769297 44.937842050262859)",153,0,1
"POINT (-93.283041103282017 44.957418540701134)",154,0,1
"POINT (-93.283045614092686 44.955443987207218)",155,0,1
"POINT (-93.283060590792971 44.953822550026629)",156,0,1
"POINT (-93.282819244482098 44.953688104216873)",157,0,1
"POINT (-93.262738105078455 44.944812918646598)",158,0,1
"POINT (-93.26247128371061 44.944678876781921)",159,0,1
"POINT (-93.262720480790037 44.943257240990981)",160,0,1
"POINT (-93.26269740687593 44.941496794951526)",161,0,1
"POINT (-93.28311300217878 44.94483523371732)",162,0,1
"POINT (-93.261180385447943 44.959249066588626)",163,0,1
"POINT (-93.261112208049468 44.959053443182327)",164,0,1
"POINT (-93.283126540987908 44.943005892814654)",165,0,1
"POINT (-93.283137094435574 44.942252390776709)",166,0,1
"POINT (-93.282878121971535 44.942875122645866)",167,0,1
"POINT (-93.283142876765609 44.941372023745316)",168,0,1
"POINT (-93.261425645285001 44.944813954044392)",169,0,1
"POINT (-93.261231891783851 44.944678664624149)",170,0,1
"POINT (-93.261403064172825 44.943259665547416)",171,0,1
"POINT (-93.2613853216248 44.941267128381213)",172,0,1
"POINT (-93.261344571094682 44.937848110412979)",173,0,1
"POINT (-93.281382432685589 44.955437763190908)",174,0,1
"POINT (-93.281396505383839 44.953824457793814)",175,0,1
"POINT (-93.281151744428044 44.953685500990737)",176,0,1
"POINT (-93.281445781156592 44.946712402219738)",177,0,1
"POINT (-93.281451280681736 44.945716822940277)",178,0,1
"POINT (-93.260140232802527 44.955641949703697)",179,0,1
"POINT (-93.259967660693476 44.951880872175465)",180,0,1
"POINT (-93.281457792278104 44.942783526318614)",181,0,1
"POINT (-93.281218406350604 44.942874093525106)",182,0,1
"POINT (-93.281476134643569 44.941437036004722)",183,0,1
"POINT (-93.28146236579893 44.941162820922408)",184,0,1
"POINT (-93.260192028961825 44.950758700831926)",185,0,1
"POINT (-93.279690584484939 44.95921182936921)",186,0,1
"POINT (-93.279725501014838 44.955334095400623)",187,0,1
"POINT (-93.260146378188736 44.94325646182093)",188,0,1
"POINT (-93.260107673655654 44.939644016433718)",189,0,1
"POINT (-93.260085392425353 44.937843072115527)",190,0,1
"POINT (-93.279780880948707 44.949659975607013)",191,0,1
"POINT (-93.279799943346347 44.948470114609222)",192,0,1
"POINT (-93.279782892569941 44.943004718879671)",193,0,1
"POINT (-93.25830931089699 44.95921434873086)",194,0,1
"POINT (-93.258630951176983 44.9590597592479)",195,0,1
"POINT (-93.258860042773748 44.955640988626833)",196,0,1
"POINT (-93.258914282611372 44.950019055542711)",197,0,1
"POINT (-93.258829175060114 44.940583887948399)",198,0,1
"POINT (-93.258643162112548 44.939487038539006)",199,0,1
"POINT (-93.258811297451331 44.937841770219514)",200,0,1
"POINT (-93.278021663884701 44.952058305669318)",201,0,1
"POINT (-93.278015225963912 44.950906200978181)",202,0,1
"POINT (-93.278035915513954 44.94742963200035)",203,0,1
"POINT (-93.278020569642848 44.945789981171977)",204,0,1
"POINT (-93.257576361216479 44.957439475942948)",205,0,1
"POINT (-93.2576043481629 44.955641451971253)",206,0,1
"POINT (-93.257398824672237 44.955472083999567)",207,0,1
"POINT (-93.257615887457234 44.953811542833925)",208,0,1
"POINT (-93.25762293209452 44.945720736579091)",209,0,1
"POINT (-93.257582350603286 44.939449864721169)",210,0,1
"POINT (-93.276646106448609 44.959108269083004)",211,0,1
"POINT (-93.276627729577996 44.95825940931072)",212,0,1
"POINT (-93.27637673554527 44.957276357366517)",213,0,1
"POINT (-93.276642360497192 44.956422183530577)",214,0,1
"POINT (-93.276658812077642 44.954556621429077)",215,0,1
"POINT (-93.276691493955042 44.952040301405972)",216,0,1
"POINT (-93.276721204109606 44.945065753978525)",217,0,1
"POINT (-93.276716940687294 44.9432359849691)",218,0,1
"POINT (-93.276711210180707 44.941451470628955)",219,0,1
"POINT (-93.256099024701825 44.959062024638392)",220,0,1
"POINT (-93.256127167170362 44.95546817371509)",221,0,1
"POINT (-93.256343461280423 44.953811390748939)",222,0,1
"POINT (-93.275168600538791 44.959264736647782)",223,0,1
"POINT (-93.256357672130548 44.952054439283167)",224,0,1
"POINT (-93.274977118196034 44.957288101968004)",225,0,1
"POINT (-93.275224056844635 44.95368192795636)",226,0,1
"POINT (-93.275415052561854 44.95286619281093)",227,0,1
"POINT (-93.256356930486632 44.945752541770986)",228,0,1
"POINT (-93.275442862414323 44.949862093482047)",229,0,1
"POINT (-93.275469585355751 44.94846685847196)",230,0,1
"POINT (-93.275218436721971 44.948458362349847)",231,0,1
"POINT (-93.275448487137595 44.945076729122981)",232,0,1
"POINT (-93.275445362764373 44.944050977494378)",233,0,1
"POINT (-93.255038919647887 44.957465649099618)",234,0,1
"POINT (-93.25509782821095 44.955469275510218)",235,0,1
